,elevation,H1,H2,k,k_min_idx,h_local_max_idx,elevation_threshold
0,0.0,,,,7,7,3
1,0.0,0.0,0.0,0.0,7,7,3
2,0.0,0.0,0.0,0.0,7,7,3
3,0.0,0.0,0.0,0.0,7,7,3
4,0.0,0.0,0.0,0.0,7,7,3
5,0.0,0.0,0.0,0.0,7,7,3
6,0.0,0.0,1.0,1.0,7,7,3
7,1.0,1.0,-1.0,-0.35355339059327373,7,7,3
8,1.0,0.0,0.0,0.0,7,7,3
9,1.0,0.0,0.0,0.0,7,7,3
10,1.0,0.0,0.0,0.0,7,7,3
11,1.0,0.0,0.0,0.0,7,7,3
12,1.0,0.0,0.0,0.0,7,7,3
13,1.0,0.0,0.0,0.0,7,7,3
14,1.0,0.0,0.0,0.0,7,7,3
15,1.0,0.0,0.0,0.0,7,7,3
16,1.0,0.0,0.0,0.0,7,7,3
17,1.0,0.0,0.0,0.0,7,7,3
18,1.0,0.0,0.0,0.0,7,7,3
19,1.0,0.0,0.0,0.0,7,7,3
20,1.0,0.0,0.0,0.0,7,7,3
21,1.0,0.0,0.0,0.0,7,7,3
22,1.0,0.0,0.0,0.0,7,7,3
23,1.0,0.0,0.0,0.0,7,7,3
24,1.0,0.0,0.0,0.0,7,7,3
25,1.0,0.0,0.0,0.0,7,7,3
26,1.0,0.0,0.0,0.0,7,7,3
27,1.0,0.0,0.0,0.0,7,7,3
28,1.0,0.0,0.0,0.0,7,7,3
29,1.0,0.0,1.0,1.0,7,7,3
30,2.0,1.0,-1.0,-0.35355339059327373,7,7,3
31,2.0,0.0,0.0,0.0,7,7,3
32,2.0,0.0,0.0,0.0,7,7,3
33,2.0,0.0,2.0,2.0,7,7,3
34,4.0,2.0,-2.0,-0.17888543819998318,7,7,3
35,4.0,0.0,1.0,1.0,7,7,3
36,5.0,1.0,-1.0,-0.35355339059327373,7,7,3
37,5.0,0.0,0.0,0.0,7,7,3
38,5.0,0.0,0.0,0.0,7,7,3
39,5.0,0.0,0.0,0.0,7,7,3
40,5.0,0.0,0.0,0.0,7,7,3
41,5.0,0.0,1.0,1.0,7,7,3
42,6.0,1.0,-1.0,-0.35355339059327373,7,7,3
43,6.0,0.0,0.0,0.0,7,7,3
44,6.0,0.0,0.0,0.0,7,7,3
45,6.0,0.0,0.0,0.0,7,7,3
46,6.0,0.0,0.0,0.0,7,7,3
47,6.0,0.0,0.0,0.0,7,7,3
48,6.0,0.0,0.0,0.0,7,7,3
49,6.0,0.0,0.0,0.0,7,7,3
50,6.0,0.0,0.0,0.0,7,7,3
51,6.0,0.0,0.0,0.0,7,7,3
52,6.0,0.0,0.0,0.0,7,7,3
53,6.0,0.0,0.0,0.0,7,7,3
54,6.0,0.0,0.0,0.0,7,7,3
55,6.0,0.0,0.0,0.0,7,7,3
56,6.0,0.0,0.0,0.0,7,7,3
57,6.0,0.0,0.0,0.0,7,7,3
58,6.0,0.0,0.0,0.0,7,7,3
59,6.0,0.0,0.0,0.0,7,7,3
60,6.0,0.0,0.0,0.0,7,7,3
61,6.0,0.0,0.0,0.0,7,7,3
62,6.0,0.0,-1.0,-1.0,7,7,3
63,5.0,-1.0,1.0,0.35355339059327373,7,7,3
64,5.0,0.0,0.0,0.0,7,7,3
65,5.0,0.0,0.0,0.0,7,7,3
66,5.0,0.0,0.0,0.0,7,7,3
67,5.0,0.0,-1.0,-1.0,7,7,3
68,4.0,-1.0,1.0,0.35355339059327373,7,7,3
69,4.0,0.0,0.0,0.0,7,7,3
70,4.0,0.0,0.0,0.0,7,7,3
71,4.0,0.0,0.0,0.0,7,7,3
72,4.0,0.0,0.0,0.0,7,7,3
73,4.0,0.0,0.0,0.0,7,7,3
74,4.0,0.0,0.0,0.0,7,7,3
75,4.0,0.0,0.0,0.0,7,7,3
76,4.0,0.0,0.0,0.0,7,7,3
77,4.0,0.0,0.0,0.0,7,7,3
78,4.0,0.0,0.0,0.0,7,7,3
79,4.0,0.0,0.0,0.0,7,7,3
80,4.0,0.0,0.0,0.0,7,7,3
81,4.0,0.0,0.0,0.0,7,7,3
82,4.0,0.0,0.0,0.0,7,7,3
83,4.0,0.0,-1.0,-1.0,7,7,3
84,3.0,-1.0,1.0,0.35355339059327373,7,7,3
85,3.0,0.0,0.0,0.0,7,7,3
86,3.0,0.0,0.0,0.0,7,7,3
87,3.0,0.0,0.0,0.0,7,7,3
88,3.0,0.0,-1.0,-1.0,7,7,3
89,2.0,-1.0,1.0,0.35355339059327373,7,7,3
90,2.0,0.0,0.0,0.0,7,7,3
91,2.0,0.0,0.0,0.0,7,7,3
92,2.0,0.0,0.0,0.0,7,7,3
93,2.0,0.0,0.0,0.0,7,7,3
94,2.0,0.0,0.0,0.0,7,7,3
95,2.0,0.0,0.0,0.0,7,7,3
96,2.0,0.0,0.0,0.0,7,7,3
97,2.0,0.0,0.0,0.0,7,7,3
98,2.0,0.0,-1.0,-1.0,7,7,3
99,1.0,-1.0,,,7,7,3
