,elevation,H1,H2,k,k_min_idx,h_local_max_idx,elevation_threshold,H2_local_max_idx
0,0.0,,,,53,51,3,27
1,0.0,0.0,0.0,0.0,53,51,3,27
2,0.0,0.0,0.0,0.0,53,51,3,27
3,0.0,0.0,0.0,0.0,53,51,3,27
4,0.0,0.0,0.0,0.0,53,51,3,27
5,0.0,0.0,0.0,0.0,53,51,3,27
6,0.0,0.0,1.0,1.0,53,51,3,27
7,1.0,1.0,-1.0,-0.35355339059327373,53,51,3,27
8,1.0,0.0,0.0,0.0,53,51,3,27
9,1.0,0.0,0.0,0.0,53,51,3,27
10,1.0,0.0,0.0,0.0,53,51,3,27
11,1.0,0.0,0.0,0.0,53,51,3,27
12,1.0,0.0,0.0,0.0,53,51,3,27
13,1.0,0.0,0.0,0.0,53,51,3,27
14,1.0,0.0,0.0,0.0,53,51,3,27
15,1.0,0.0,0.0,0.0,53,51,3,27
16,1.0,0.0,0.0,0.0,53,51,3,27
17,1.0,0.0,0.0,0.0,53,51,3,27
18,1.0,0.0,0.0,0.0,53,51,3,27
19,1.0,0.0,0.0,0.0,53,51,3,27
20,1.0,0.0,0.0,0.0,53,51,3,27
21,1.0,0.0,0.0,0.0,53,51,3,27
22,1.0,0.0,0.0,0.0,53,51,3,27
23,1.0,0.0,0.0,0.0,53,51,3,27
24,1.0,0.0,0.0,0.0,53,51,3,27
25,1.0,0.0,1.0,1.0,53,51,3,27
26,2.0,1.0,-1.0,-0.35355339059327373,53,51,3,27
27,2.0,0.0,2.0,2.0,53,51,3,27
28,4.0,2.0,-2.0,-0.17888543819998318,53,51,3,27
29,4.0,0.0,2.0,2.0,53,51,3,27
30,6.0,2.0,-2.0,-0.17888543819998318,53,51,3,27
31,6.0,0.0,0.0,0.0,53,51,3,27
32,6.0,0.0,1.0,1.0,53,51,3,27
33,7.0,1.0,-1.0,-0.35355339059327373,53,51,3,27
34,7.0,0.0,2.0,2.0,53,51,3,27
35,9.0,2.0,-2.0,-0.17888543819998318,53,51,3,27
36,9.0,0.0,1.0,1.0,53,51,3,27
37,10.0,1.0,-1.0,-0.35355339059327373,53,51,3,27
38,10.0,0.0,1.0,1.0,53,51,3,27
39,11.0,1.0,0.0,0.0,53,51,3,27
40,12.0,1.0,0.0,0.0,53,51,3,27
41,13.0,1.0,-1.0,-0.35355339059327373,53,51,3,27
42,13.0,0.0,2.0,2.0,53,51,3,27
43,15.0,2.0,-2.0,-0.17888543819998318,53,51,3,27
44,15.0,0.0,1.0,1.0,53,51,3,27
45,16.0,1.0,-1.0,-0.35355339059327373,53,51,3,27
46,16.0,0.0,0.0,0.0,53,51,3,27
47,16.0,0.0,2.0,2.0,53,51,3,27
48,18.0,2.0,-2.0,-0.17888543819998318,53,51,3,27
49,18.0,0.0,2.0,2.0,53,51,3,27
50,20.0,2.0,-1.0,-0.08944271909999159,53,51,3,27
51,21.0,1.0,-1.0,-0.35355339059327373,53,51,3,27
52,21.0,0.0,0.0,0.0,53,51,3,27
53,21.0,0.0,-1.0,-1.0,53,51,3,27
54,20.0,-1.0,1.0,0.35355339059327373,53,51,3,27
55,20.0,0.0,0.0,0.0,53,51,3,27
56,20.0,0.0,0.0,0.0,53,51,3,27
57,20.0,0.0,0.0,0.0,53,51,3,27
58,20.0,0.0,0.0,0.0,53,51,3,27
59,20.0,0.0,0.0,0.0,53,51,3,27
60,20.0,0.0,0.0,0.0,53,51,3,27
61,20.0,0.0,0.0,0.0,53,51,3,27
62,20.0,0.0,0.0,0.0,53,51,3,27
63,20.0,0.0,0.0,0.0,53,51,3,27
64,20.0,0.0,0.0,0.0,53,51,3,27
65,20.0,0.0,0.0,0.0,53,51,3,27
66,20.0,0.0,0.0,0.0,53,51,3,27
67,20.0,0.0,0.0,0.0,53,51,3,27
68,20.0,0.0,0.0,0.0,53,51,3,27
69,20.0,0.0,0.0,0.0,53,51,3,27
70,20.0,0.0,-1.0,-1.0,53,51,3,27
71,19.0,-1.0,1.0,0.35355339059327373,53,51,3,27
72,19.0,0.0,0.0,0.0,53,51,3,27
73,19.0,0.0,0.0,0.0,53,51,3,27
74,19.0,0.0,0.0,0.0,53,51,3,27
75,19.0,0.0,0.0,0.0,53,51,3,27
76,19.0,0.0,0.0,0.0,53,51,3,27
77,19.0,0.0,0.0,0.0,53,51,3,27
78,19.0,0.0,0.0,0.0,53,51,3,27
79,19.0,0.0,0.0,0.0,53,51,3,27
80,19.0,0.0,0.0,0.0,53,51,3,27
81,19.0,0.0,0.0,0.0,53,51,3,27
82,19.0,0.0,0.0,0.0,53,51,3,27
83,19.0,0.0,0.0,0.0,53,51,3,27
84,19.0,0.0,0.0,0.0,53,51,3,27
85,19.0,0.0,0.0,0.0,53,51,3,27
86,19.0,0.0,0.0,0.0,53,51,3,27
87,19.0,0.0,0.0,0.0,53,51,3,27
88,19.0,0.0,0.0,0.0,53,51,3,27
89,19.0,0.0,0.0,0.0,53,51,3,27
90,19.0,0.0,0.0,0.0,53,51,3,27
91,19.0,0.0,0.0,0.0,53,51,3,27
92,19.0,0.0,0.0,0.0,53,51,3,27
93,19.0,0.0,0.0,0.0,53,51,3,27
94,19.0,0.0,0.0,0.0,53,51,3,27
95,19.0,0.0,0.0,0.0,53,51,3,27
96,19.0,0.0,0.0,0.0,53,51,3,27
97,19.0,0.0,0.0,0.0,53,51,3,27
98,19.0,0.0,0.0,0.0,53,51,3,27
99,19.0,0.0,,,53,51,3,27
