,profile_id,bottom_id,top_id,distance,slope,volume,method,bottom_x,bottom_y,bottom_elevation,top_x,top_y,top_elevation
0,1,2,51,49.00000000007258,13.760785111771629,215.0,1,232289.51782219973,695805.4632594698,0.0,232301.73472453715,695758.0106800111,12.0
0,3,27,51,23.999999999957545,38.367485384910864,272.5,1,213264.505976378,689871.2882543085,2.0,213272.9760746853,689848.8325771942,21.0
0,5,4,9,4.999999999929209,0.0,18.0,0,195376.3780035486,681766.6779089781,4.0,195378.6996119969,681762.2495758592,4.0
