no_transect	length_transect	no_point	dem	x_image	y_image	x_geo	y_geo	elevation	slope	geometry	index_right	id
2	100.00000000004168	0	dem_sample_model.tif	24	24	222606.7165100177	693314.5809137358	0.0	0.0	POINT (14.762725751961913 54.029497254130405)		
2	100.00000000004168	1	dem_sample_model.tif	25	25	222607.01307869487	693313.6259022072	0.0	0.0	POINT (14.76273114057443 54.02948885096056)		
2	100.00000000004168	2	dem_sample_model.tif	25	25	222607.30964737208	693312.6708906787	0.0	0.0	POINT (14.762736529184695 54.029480447790434)		
2	100.00000000004168	3	dem_sample_model.tif	26	25	222607.6062160493	693311.7158791501	0.0	5.05	POINT (14.762741917792706 54.02947204462)	0.0	1.0
2	100.00000000004168	4	dem_sample_model.tif	26	25	222607.90278472647	693310.7608676215	0.0	5.05	POINT (14.76274730639846 54.02946364144929)	0.0	1.0
2	100.00000000004168	5	dem_sample_model.tif	27	25	222608.19935340373	693309.805856093	0.0	14.85	POINT (14.76275269500196 54.02945523827828)	0.0	1.0
2	100.00000000004168	6	dem_sample_model.tif	27	25	222608.4959220809	693308.8508445644	0.0	14.85	POINT (14.762758083603208 54.02944683510699)	0.0	1.0
2	100.00000000004168	7	dem_sample_model.tif	28	26	222608.79249075812	693307.8958330358	1.0	5.05	POINT (14.762763472202197 54.0294384319354)	0.0	1.0
2	100.00000000004168	8	dem_sample_model.tif	28	26	222609.08905943536	693306.9408215072	1.0	5.05	POINT (14.762768860798934 54.02943002876352)	0.0	1.0
2	100.00000000004168	9	dem_sample_model.tif	29	26	222609.3856281126	693305.9858099787	1.0	0.0	POINT (14.762774249393415 54.02942162559135)	0.0	1.0
2	100.00000000004168	10	dem_sample_model.tif	29	26	222609.6821967898	693305.0307984501	1.0	0.0	POINT (14.762779637985641 54.02941322241888)	0.0	1.0
2	100.00000000004168	11	dem_sample_model.tif	30	26	222609.978765467	693304.0757869215	1.0	0.0	POINT (14.762785026575614 54.029404819246125)	0.0	1.0
2	100.00000000004168	12	dem_sample_model.tif	30	26	222610.2753341442	693303.120775393	1.0	0.0	POINT (14.76279041516333 54.02939641607309)	0.0	1.0
2	100.00000000004168	13	dem_sample_model.tif	31	26	222610.57190282145	693302.1657638644	1.0	0.0	POINT (14.762795803748794 54.029388012899744)	0.0	1.0
2	100.00000000004168	14	dem_sample_model.tif	31	27	222610.86847149863	693301.2107523358	1.0	0.0	POINT (14.762801192331999 54.02937960972613)	0.0	1.0
2	100.00000000004168	15	dem_sample_model.tif	32	27	222611.16504017587	693300.2557408073	1.0	0.0	POINT (14.762806580912953 54.02937120655221)	0.0	1.0
2	100.00000000004168	16	dem_sample_model.tif	32	27	222611.46160885307	693299.3007292787	1.0	0.0	POINT (14.762811969491652 54.02936280337799)	0.0	1.0
2	100.00000000004168	17	dem_sample_model.tif	33	27	222611.75817753028	693298.3457177501	1.0	0.0	POINT (14.76281735806809 54.029354400203495)	0.0	1.0
2	100.00000000004168	18	dem_sample_model.tif	33	27	222612.05474620752	693297.3907062216	1.0	0.0	POINT (14.76282274664228 54.02934599702872)	0.0	1.0
2	100.00000000004168	19	dem_sample_model.tif	34	27	222612.35131488476	693296.435694693	1.0	0.0	POINT (14.762828135214216 54.029337593853626)	0.0	1.0
2	100.00000000004168	20	dem_sample_model.tif	34	27	222612.64788356196	693295.4806831644	1.0	0.0	POINT (14.762833523783895 54.02932919067826)	0.0	1.0
2	100.00000000004168	21	dem_sample_model.tif	34	28	222612.94445223917	693294.5256716359	1.0	0.0	POINT (14.76283891235132 54.029320787502606)	0.0	1.0
2	100.00000000004168	22	dem_sample_model.tif	35	28	222613.24102091635	693293.5706601073	1.0	0.0	POINT (14.762844300916486 54.02931238432664)	0.0	1.0
2	100.00000000004168	23	dem_sample_model.tif	35	28	222613.5375895936	693292.6156485787	1.0	0.0	POINT (14.7628496894794 54.02930398115041)	0.0	1.0
2	100.00000000004168	24	dem_sample_model.tif	36	28	222613.8341582708	693291.6606370502	1.0	0.0	POINT (14.76285507804006 54.02929557797387)	0.0	1.0
2	100.00000000004168	25	dem_sample_model.tif	36	28	222614.130726948	693290.7056255216	1.0	0.0	POINT (14.762860466598468 54.02928717479704)	0.0	1.0
2	100.00000000004168	26	dem_sample_model.tif	37	28	222614.4272956252	693289.750613993	1.0	0.0	POINT (14.762865855154615 54.029278771619936)	0.0	1.0
2	100.00000000004168	27	dem_sample_model.tif	37	28	222614.7238643024	693288.7956024645	1.0	0.0	POINT (14.76287124370851 54.02927036844252)	0.0	1.0
2	100.00000000004168	28	dem_sample_model.tif	38	29	222615.02043297965	693287.8405909359	1.0	15.62	POINT (14.762876632260152 54.02926196526483)	0.0	1.0
2	100.00000000004168	29	dem_sample_model.tif	38	29	222615.3170016569	693286.8855794073	1.0	15.62	POINT (14.762882020809537 54.02925356208684)	0.0	1.0
2	100.00000000004168	30	dem_sample_model.tif	39	29	222615.61357033407	693285.9305678788	2.0	11.18	POINT (14.762887409356669 54.02924515890856)	0.0	1.0
2	100.00000000004168	31	dem_sample_model.tif	39	29	222615.91013901128	693284.9755563502	2.0	11.18	POINT (14.762892797901543 54.02923675572998)	0.0	1.0
2	100.00000000004168	32	dem_sample_model.tif	40	29	222616.20670768849	693284.0205448216	2.0	15.62	POINT (14.762898186444167 54.02922835255113)	0.0	1.0
2	100.00000000004168	33	dem_sample_model.tif	40	29	222616.5032763657	693283.0655332931	2.0	15.62	POINT (14.76290357498453 54.02921994937197)	0.0	1.0
2	100.00000000004168	34	dem_sample_model.tif	41	30	222616.79984504293	693282.1105217645	4.0	33.95	POINT (14.762908963522644 54.02921154619254)	0.0	1.0
2	100.00000000004168	35	dem_sample_model.tif	41	30	222617.0964137201	693281.1555102359	4.0	33.95	POINT (14.762914352058505 54.02920314301279)	0.0	1.0
2	100.00000000004168	36	dem_sample_model.tif	42	30	222617.39298239732	693280.2004987074	5.0	19.47	POINT (14.762919740592103 54.02919473983278)	0.0	1.0
2	100.00000000004168	37	dem_sample_model.tif	42	30	222617.68955107452	693279.2454871788	5.0	19.47	POINT (14.762925129123452 54.029186336652465)	0.0	1.0
2	100.00000000004168	38	dem_sample_model.tif	43	30	222617.98611975176	693278.2904756502	5.0	11.18	POINT (14.762930517652547 54.02917793347185)	0.0	1.0
2	100.00000000004168	39	dem_sample_model.tif	43	30	222618.282688429	693277.3354641217	5.0	11.18	POINT (14.762935906179385 54.02916953029096)	0.0	1.0
