no_transect	length_transect	no_point	dem	x_image	y_image	x_geo	y_geo	elevation	slope	geometry	index_right	id
1	99.9999999999893	0	dem_sample_model.tif	24	24	232289.01917312475	695807.4000994477	0.0	5.05	POINT (14.908003661637158 54.05696706351953)		
1	99.9999999999893	1	dem_sample_model.tif	25	24	232289.26849766224	695806.4316794587	0.0	15.62	POINT (14.908008316801299 54.05695850862231)		
1	99.9999999999893	2	dem_sample_model.tif	25	24	232289.51782219973	695805.4632594698	0.0	15.62	POINT (14.908012971963439 54.05694995372488)		
1	99.9999999999893	3	dem_sample_model.tif	26	24	232289.76714673723	695804.4948394808	1.0	11.18	POINT (14.90801762712358 54.056941398827234)		
1	99.9999999999893	4	dem_sample_model.tif	26	24	232290.01647127475	695803.5264194919	1.0	11.18	POINT (14.90802228228173 54.05693284392934)		
1	99.9999999999893	5	dem_sample_model.tif	26	24	232290.26579581224	695802.557999503	1.0	11.18	POINT (14.908026937437878 54.05692428903126)		
1	99.9999999999893	6	dem_sample_model.tif	27	24	232290.5151203497	695801.589579514	1.0	0.0	POINT (14.908031592592025 54.05691573413292)		
1	99.9999999999893	7	dem_sample_model.tif	27	25	232290.76444488723	695800.621159525	1.0	0.0	POINT (14.90803624774418 54.056907179234365)		
1	99.9999999999893	8	dem_sample_model.tif	28	25	232291.01376942472	695799.6527395361	1.0	0.0	POINT (14.908040902894335 54.05689862433558)	0.0	1.0
1	99.9999999999893	9	dem_sample_model.tif	28	25	232291.26309396225	695798.6843195471	1.0	0.0	POINT (14.908045558042492 54.056890069436584)	0.0	1.0
1	99.9999999999893	10	dem_sample_model.tif	29	25	232291.5124184997	695797.7158995582	1.0	0.0	POINT (14.90805021318865 54.056881514537345)	0.0	1.0
1	99.9999999999893	11	dem_sample_model.tif	29	25	232291.76174303723	695796.7474795693	1.0	0.0	POINT (14.90805486833281 54.056872959637914)	0.0	1.0
1	99.9999999999893	12	dem_sample_model.tif	30	25	232292.01106757476	695795.7790595803	1.0	0.0	POINT (14.908059523474975 54.05686440473824)	0.0	1.0
1	99.9999999999893	13	dem_sample_model.tif	30	25	232292.26039211225	695794.8106395913	1.0	0.0	POINT (14.90806417861514 54.05685584983834)	0.0	1.0
1	99.9999999999893	14	dem_sample_model.tif	31	25	232292.5097166497	695793.8422196023	1.0	0.0	POINT (14.90806883375331 54.05684729493823)	0.0	1.0
1	99.9999999999893	15	dem_sample_model.tif	31	26	232292.7590411872	695792.8737996134	1.0	0.0	POINT (14.908073488889478 54.0568387400379)	0.0	1.0
1	99.9999999999893	16	dem_sample_model.tif	32	26	232293.00836572476	695791.9053796245	1.0	0.0	POINT (14.908078144023648 54.05683018513733)	0.0	1.0
1	99.9999999999893	17	dem_sample_model.tif	32	26	232293.25769026225	695790.9369596355	1.0	0.0	POINT (14.908082799155826 54.05682163023654)	0.0	1.0
1	99.9999999999893	18	dem_sample_model.tif	33	26	232293.5070147997	695789.9685396466	1.0	0.0	POINT (14.908087454286 54.056813075335526)	0.0	1.0
1	99.9999999999893	19	dem_sample_model.tif	33	26	232293.7563393372	695789.0001196576	1.0	0.0	POINT (14.90809210941418 54.056804520434284)	0.0	1.0
1	99.9999999999893	20	dem_sample_model.tif	34	26	232294.0056638747	695788.0316996686	1.0	0.0	POINT (14.908096764540359 54.05679596553282)	0.0	1.0
1	99.9999999999893	21	dem_sample_model.tif	34	26	232294.2549884122	695787.0632796797	1.0	0.0	POINT (14.908101419664542 54.056787410631145)	0.0	1.0
1	99.9999999999893	22	dem_sample_model.tif	35	26	232294.5043129497	695786.0948596908	1.0	0.0	POINT (14.90810607478673 54.05677885572923)	0.0	1.0
1	99.9999999999893	23	dem_sample_model.tif	35	27	232294.7536374872	695785.1264397018	1.0	0.0	POINT (14.908110729906914 54.0567703008271)	0.0	1.0
1	99.9999999999893	24	dem_sample_model.tif	36	27	232295.0029620247	695784.1580197129	1.0	14.04	POINT (14.908115385025104 54.056761745924746)	0.0	1.0
1	99.9999999999893	25	dem_sample_model.tif	36	27	232295.2522865622	695783.1895997239	1.0	14.04	POINT (14.908120040141295 54.05675319102217)	0.0	1.0
1	99.9999999999893	26	dem_sample_model.tif	37	27	232295.5016110997	695782.2211797349	2.0	14.04	POINT (14.908124695255488 54.05674463611936)	0.0	1.0
1	99.9999999999893	27	dem_sample_model.tif	37	27	232295.7509356372	695781.252759746	2.0	14.04	POINT (14.908129350367686 54.056736081216336)	0.0	1.0
1	99.9999999999893	28	dem_sample_model.tif	38	27	232296.0002601747	695780.284339757	2.0	15.62	POINT (14.908134005477883 54.056727526313075)	0.0	1.0
1	99.9999999999893	29	dem_sample_model.tif	38	27	232296.2495847122	695779.3159197681	2.0	15.62	POINT (14.908138660586086 54.0567189714096)	0.0	1.0
1	99.9999999999893	30	dem_sample_model.tif	39	27	232296.4989092497	695778.3474997792	3.0	44.66	POINT (14.908143315692284 54.0567104165059)	0.0	1.0
1	99.9999999999893	31	dem_sample_model.tif	39	28	232296.7482337872	695777.3790797902	4.0	41.47	POINT (14.90814797079649 54.05670186160197)	0.0	1.0
1	99.9999999999893	32	dem_sample_model.tif	40	28	232296.99755832469	695776.4106598012	6.0	36.87	POINT (14.9081526258987 54.05669330669783)	0.0	1.0
1	99.9999999999893	33	dem_sample_model.tif	40	28	232297.24688286215	695775.4422398123	6.0	36.87	POINT (14.908157280998905 54.05668475179347)	0.0	1.0
1	99.9999999999893	34	dem_sample_model.tif	41	28	232297.49620739967	695774.4738198234	7.0	21.57	POINT (14.908161936097118 54.05667619688886)	0.0	1.0
1	99.9999999999893	35	dem_sample_model.tif	41	28	232297.7455319372	695773.5053998344	7.0	21.57	POINT (14.908166591193332 54.05666764198405)	0.0	1.0
1	99.9999999999893	36	dem_sample_model.tif	41	28	232297.9948564747	695772.5369798454	7.0	21.57	POINT (14.908171246287544 54.056659087079005)	0.0	1.0
1	99.9999999999893	37	dem_sample_model.tif	42	28	232298.24418101215	695771.5685598565	7.0	20.02	POINT (14.908175901379764 54.056650532173734)	0.0	1.0
1	99.9999999999893	38	dem_sample_model.tif	42	28	232298.49350554968	695770.6001398675	7.0	20.02	POINT (14.908180556469986 54.05664197726824)	0.0	1.0
1	99.9999999999893	39	dem_sample_model.tif	43	29	232298.7428300872	695769.6317198785	8.0	24.26	POINT (14.908185211558207 54.05663342236253)	0.0	1.0
1	99.9999999999893	40	dem_sample_model.tif	43	29	232298.99215462463	695768.6632998897	8.0	24.26	POINT (14.908189866644431 54.05662486745659)	0.0	1.0
1	99.9999999999893	41	dem_sample_model.tif	44	29	232299.24147916216	695767.6948799007	9.0	29.21	POINT (14.908194521728658 54.05661631255044)	0.0	1.0
1	99.9999999999893	42	dem_sample_model.tif	44	29	232299.49080369968	695766.7264599117	9.0	29.21	POINT (14.908199176810887 54.05660775764405)	0.0	1.0
1	99.9999999999893	43	dem_sample_model.tif	45	29	232299.7401282372	695765.7580399228	10.0	28.26	POINT (14.90820383189112 54.05659920273744)	0.0	1.0
1	99.9999999999893	44	dem_sample_model.tif	45	29	232299.98945277467	695764.7896199338	10.0	28.26	POINT (14.90820848696935 54.05659064783061)	0.0	1.0
1	99.9999999999893	45	dem_sample_model.tif	46	29	232300.23877731216	695763.8211999448	11.0	25.45	POINT (14.908213142045584 54.056582092923556)	0.0	1.0
1	99.9999999999893	46	dem_sample_model.tif	46	29	232300.48810184965	695762.852779956	11.0	25.45	POINT (14.908217797119825 54.05657353801627)	0.0	1.0
1	99.9999999999893	47	dem_sample_model.tif	47	30	232300.7374263872	695761.884359967	12.0	14.04	POINT (14.908222452192064 54.05656498310877)	0.0	1.0
1	99.9999999999893	48	dem_sample_model.tif	47	30	232300.98675092467	695760.915939978	12.0	14.04	POINT (14.908227107262306 54.05655642820104)	0.0	1.0
1	99.9999999999893	49	dem_sample_model.tif	48	30	232301.23607546216	695759.9475199891	12.0	14.04	POINT (14.908231762330553 54.05654787329308)	0.0	1.0
1	99.9999999999893	50	dem_sample_model.tif	48	30	232301.48539999968	695758.9791000001	12.0	14.04	POINT (14.908236417396797 54.05653931838491)	0.0	1.0
1	99.9999999999893	51	dem_sample_model.tif	49	30	232301.73472453715	695758.0106800111	12.0	14.04	POINT (14.908241072461044 54.05653076347651)	0.0	1.0
1	99.9999999999893	52	dem_sample_model.tif	49	30	232301.98404907464	695757.0422600223	12.0	14.04	POINT (14.9082457275233 54.05652220856788)	0.0	1.0
1	99.9999999999893	53	dem_sample_model.tif	50	30	232302.23337361217	695756.0738400333	12.0	11.18	POINT (14.90825038258355 54.05651365365904)	0.0	1.0
1	99.9999999999893	54	dem_sample_model.tif	50	30	232302.4826981497	695755.1054200443	12.0	11.18	POINT (14.908255037641805 54.056505098749966)	0.0	1.0
1	99.9999999999893	55	dem_sample_model.tif	51	31	232302.73202268715	695754.1370000554	12.0	14.04	POINT (14.908259692698062 54.05649654384066)	0.0	1.0
1	99.9999999999893	56	dem_sample_model.tif	51	31	232302.98134722465	695753.1685800664	12.0	14.04	POINT (14.90826434775232 54.05648798893115)	0.0	1.0
1	99.9999999999893	57	dem_sample_model.tif	52	31	232303.2306717621	695752.2001600774	11.0	14.04	POINT (14.908269002804582 54.05647943402141)	0.0	1.0
1	99.9999999999893	58	dem_sample_model.tif	52	31	232303.47999629963	695751.2317400886	11.0	14.04	POINT (14.908273657854847 54.056470879111444)	0.0	1.0
1	99.9999999999893	59	dem_sample_model.tif	53	31	232303.72932083716	695750.2633200996	11.0	0.0	POINT (14.908278312903118 54.05646232420124)	0.0	1.0
1	99.9999999999893	60	dem_sample_model.tif	53	31	232303.97864537465	695749.2949001106	11.0	0.0	POINT (14.908282967949384 54.05645376929084)	0.0	1.0
1	99.9999999999893	61	dem_sample_model.tif	54	31	232304.2279699121	695748.3264801216	11.0	5.05	POINT (14.908287622993655 54.056445214380204)	0.0	1.0
1	99.9999999999893	62	dem_sample_model.tif	54	31	232304.47729444964	695747.3580601327	11.0	5.05	POINT (14.908292278035926 54.056436659469334)	0.0	1.0
1	99.9999999999893	63	dem_sample_model.tif	55	32	232304.72661898716	695746.3896401437	10.0	14.85	POINT (14.908296933076203 54.05642810455826)	0.0	1.0
1	99.9999999999893	64	dem_sample_model.tif	55	32	232304.97594352465	695745.4212201547	10.0	14.85	POINT (14.908301588114481 54.05641954964695)	0.0	1.0
1	99.9999999999893	65	dem_sample_model.tif	56	32	232305.2252680621	695744.4528001659	10.0	14.04	POINT (14.908306243150761 54.05641099473541)	0.0	1.0
1	99.9999999999893	66	dem_sample_model.tif	56	32	232305.47459259964	695743.4843801769	10.0	14.04	POINT (14.908310898185043 54.05640243982365)	0.0	1.0
1	99.9999999999893	67	dem_sample_model.tif	56	32	232305.72391713716	695742.5159601879	10.0	14.04	POINT (14.908315553217328 54.056393884911664)	0.0	1.0
1	99.9999999999893	68	dem_sample_model.tif	57	32	232305.97324167463	695741.547540199	10.0	15.62	POINT (14.908320208247613 54.056385329999465)	0.0	1.0
1	99.9999999999893	69	dem_sample_model.tif	57	32	232306.2225662121	695740.57912021	10.0	15.62	POINT (14.908324863275903 54.05637677508703)	0.0	1.0
1	99.9999999999893	70	dem_sample_model.tif	58	32	232306.4718907496	695739.610700221	11.0	19.47	POINT (14.908329518302196 54.05636822017438)	0.0	1.0
1	99.9999999999893	71	dem_sample_model.tif	58	33	232306.7212152871	695738.6422802322	10.0	14.85	POINT (14.908334173326484 54.0563596652615)	0.0	1.0
1	99.9999999999893	72	dem_sample_model.tif	59	33	232306.97053982463	695737.6738602432	11.0	19.47	POINT (14.908338828348782 54.05635111034841)	0.0	1.0
1	99.9999999999893	73	dem_sample_model.tif	59	33	232307.2198643621	695736.7054402542	11.0	19.47	POINT (14.90834348336908 54.05634255543508)	0.0	1.0
1	99.9999999999893	74	dem_sample_model.tif	60	33	232307.4691888996	695735.7370202653	11.0	20.02	POINT (14.90834813838738 54.05633400052153)	0.0	1.0
1	99.9999999999893	75	dem_sample_model.tif	60	33	232307.7185134371	695734.7686002763	11.0	20.02	POINT (14.908352793403683 54.05632544560777)	0.0	1.0
1	99.9999999999893	76	dem_sample_model.tif	61	33	232307.9678379746	695733.8001802873	12.0	11.18	POINT (14.908357448417988 54.05631689069376)	0.0	1.0
