no_transect	length_transect	no_point	dem	x_image	y_image	x_geo	y_geo	elevation	slope	geometry	index_right	id
4	99.99999999995728	0	dem_sample_model.tif	24	24	204027.9638526445	686306.8058199089	0.0	0.0	POINT (14.486683199135644 53.95636831053118)		
4	99.99999999995728	1	dem_sample_model.tif	25	24	204028.37760842463	686305.8954319946	0.0	0.0	POINT (14.486690369998842 53.95636038761442)		
4	99.99999999995728	2	dem_sample_model.tif	25	24	204028.79136420475	686304.9850440803	0.0	0.0	POINT (14.486697540859247 53.956352464697176)		
4	99.99999999995728	3	dem_sample_model.tif	26	25	204029.2051199849	686304.0746561661	0.0	0.0	POINT (14.486704711716872 53.95634454177942)		
4	99.99999999995728	4	dem_sample_model.tif	26	25	204029.61887576492	686303.1642682519	0.0	0.0	POINT (14.486711882571704 53.956336618861194)		
4	99.99999999995728	5	dem_sample_model.tif	27	25	204030.03263154507	686302.2538803376	0.0	0.0	POINT (14.486719053423757 53.956328695942474)		
4	99.99999999995728	6	dem_sample_model.tif	27	25	204030.4463873252	686301.3434924233	0.0	0.0	POINT (14.48672622427302 53.956320773023265)		
4	99.99999999995728	7	dem_sample_model.tif	28	25	204030.8601431053	686300.433104509	0.0	0.0	POINT (14.486733395119497 53.95631285010357)		
4	99.99999999995728	8	dem_sample_model.tif	28	26	204031.2738988854	686299.5227165947	0.0	0.0	POINT (14.486740565963188 53.956304927183375)		
4	99.99999999995728	9	dem_sample_model.tif	28	26	204031.68765466555	686298.6123286806	0.0	0.0	POINT (14.486747736804093 53.95629700426269)		
4	99.99999999995728	10	dem_sample_model.tif	29	26	204032.10141044564	686297.7019407663	0.0	0.0	POINT (14.486754907642212 53.95628908134152)		
4	99.99999999995728	11	dem_sample_model.tif	29	26	204032.51516622573	686296.791552852	0.0	0.0	POINT (14.486762078477545 53.95628115841985)		
4	99.99999999995728	12	dem_sample_model.tif	30	26	204032.92892200584	686295.8811649377	0.0	0.0	POINT (14.486769249310088 53.956273235497704)		
4	99.99999999995728	13	dem_sample_model.tif	30	27	204033.342677786	686294.9707770235	0.0	0.0	POINT (14.48677642013985 53.956265312575056)		
4	99.99999999995728	14	dem_sample_model.tif	31	27	204033.75643356607	686294.0603891093	0.0	0.0	POINT (14.486783590966825 53.95625738965193)		
4	99.99999999995728	15	dem_sample_model.tif	31	27	204034.1701893462	686293.150001195	0.0	0.0	POINT (14.486790761791013 53.956249466728295)		
